stock_code,time,开盘,成交量,成交额,振幅,换手率,收盘,最低,最高,涨跌幅,涨跌额,收盘_index,成交量_index,feat_rsi_14,feat_mfi_14,feat_macd_hist,feat_bias_5,feat_idx_bias_5,feat_bias_20,feat_idx_bias_20,feat_bias_60,feat_idx_bias_60,feat_atr_norm,feat_bb_pos,feat_obv_trend,feat_vol_ratio,diff_days,feat_log_time_gap,feat_log_ret,feat_log_ret_index,feat_excess_ret,feat_vol_20,label_1d,label_5d,label_vol
000032,2011-02-15,21.94,31767.0,29984898.0,1.6,1.36,21.78,21.78,22.13,-0.55,-0.12,2899.24,168122251.0,0.5217808294988537,0.7893745257986976,0.011151073177483392,0.012175852774421347,0.019572483176160782,0.0357864700986803,0.04668613531856303,-0.049897123081508954,0.02502361413182763,0.02443528999213161,0.8411002812564451,0.16082992392077694,1.8164663904817686,1.0,0.6931471805599453,-0.00549451931764059,3.794169741258771e-05,-0.005532461015053177,0.018690378558708674,0.022248363764461758,0.01928033532310045,0.02531325538602731
000032,2011-02-16,21.78,34580.0,32873516.0,2.53,1.49,22.27,21.72,22.27,2.25,0.49,2923.9,139229772.0,0.575435864863799,0.85767344393624,0.012172265143192092,0.021465920557746987,0.017521172402656937,0.05795724465558183,0.05363753412997885,-0.027907112094051945,0.03411712944165668,0.02395473734162597,1.0159422616242273,0.21011967394433667,1.8611760716688088,1.0,0.6931471805599453,0.022248363764461758,0.008469707895467136,0.013778655868994622,0.019223032294637,0.010274827941098111,-0.004590673708598951,0.024195698375442685
000032,2011-02-17,22.13,31580.0,30376960.0,2.38,1.36,22.5,22.05,22.58,1.03,0.23,2926.96,141037735.0,0.5982227659745761,0.9024976315270632,0.013033311890327748,0.021984011627907085,0.010930773609199917,0.0676916506512919,0.05285743910420648,-0.01698790531044969,0.035733286718210966,0.02369884446912423,1.0596827847900359,0.2481402926349377,1.6178941759899903,1.0,0.6931471805599453,0.010274827941098111,0.0010460001705731737,0.009228827770524937,0.01923997842116317,-0.020202707317519466,-0.014504686202881801,0.025765207793532485
000032,2011-02-18,22.4,24891.0,23747638.0,2.31,1.07,22.05,21.96,22.48,-2.0,-0.45,2899.79,124413192.0,0.5374449222351383,0.8621646872588987,0.012082299709956243,-0.002262443438914019,-0.003441468909933354,0.044132967137039625,0.04105350756326298,-0.03608664291490904,0.026087147292384705,0.024204444467829076,0.8468214369072652,0.23423560344695973,1.2609997416289187,1.0,0.6931471805599453,-0.020202707317519466,-0.00932602116955942,-0.010876686147960045,0.01740451854796197,0.019313423132635288,0.009748249413660436,0.023288357242420673
000032,2011-02-21,21.88,24285.0,23268498.0,2.9,1.04,22.48,21.88,22.52,1.95,0.43,2932.25,130003748.0,0.5812274820926605,0.8679865197366845,0.01182480882344501,0.01188332733165276,0.005425129644894389,0.05947780186634,0.04846127647858611,-0.017346515033403342,0.03700193360323056,0.02407919422567109,0.940179044762307,0.3436244640036023,1.2179342511089957,3.0,1.3862943611198906,0.019313423132635288,0.011131725842157856,0.008181697290477432,0.01574849083240506,-0.0343925299597557,-0.006426298445528293,0.022595756741758944
000032,2011-02-22,22.48,33756.0,31904320.0,3.74,1.45,21.72,21.68,22.52,-3.38,-0.76,2855.52,171422414.0,0.4924973002666836,0.7780780777720733,0.009445614853612408,-0.021797874256890726,-0.01794005125728937,0.021180563717999812,0.018357590259355794,-0.049827201539874855,0.009925173044187607,0.025904050646244806,0.6577460245735556,0.2234318544164625,1.59224912972444,1.0,0.6931471805599453,-0.0343925299597557,-0.026516083293909247,-0.00787644666584645,0.017928425332762225,0.01689152236629121,0.038388095763709676,0.009532878061769277
000032,2011-02-23,21.66,25011.0,23628082.0,3.45,1.07,22.09,21.63,22.38,1.7,0.37,2862.63,120439995.0,0.5301067718903508,0.7846949827938622,0.008224153241006237,-0.00351858534824967,-0.011328196502764731,0.03601913516555677,0.01899389556934894,-0.03210258807033961,0.01259463129315952,0.026076012870961916,0.7617602115954291,0.24843532446188746,1.1417680491195628,1.0,0.6931471805599453,0.01689152236629121,0.0024868195707285607,0.01440470279556265,0.01793335522979616,0.020166491179604333,0.028208600715687086,0.010036772642758518
000032,2011-02-24,22.11,42180.0,40845756.0,3.26,1.81,22.54,21.96,22.68,2.04,0.45,2878.6,119196731.0,0.571680781289505,0.7993725173494055,0.008314461104686052,0.016414141414141437,-0.0024804574742580687,0.05142857142857138,0.02102689000905711,-0.010745452018521173,0.01827831867696683,0.02601168911190941,0.875346255046042,0.3582151846991167,1.8149351347854759,1.0,0.6931471805599453,0.020166491179604333,0.00556328215013649,0.014603209029467844,0.015406717233621877,-0.0017761994012557819,0.007689965857824391,0.0107556270922596
000032,2011-02-25,22.52,36097.0,34798128.0,1.91,1.55,22.5,22.15,22.58,-0.18,-0.04,2878.56,109603082.0,0.5668796262194947,0.808477901147215,0.007976117824110342,0.010509296685529579,-0.0010244621573675117,0.044543998514426475,0.018064836487022617,-0.010713605252744451,0.01796240955538586,0.025561730614513316,0.8278539215285864,0.2437762406186868,1.4735363934540673,1.0,0.6931471805599453,-0.0017761994012557819,-1.3895740261029373e-05,-0.0017623036609947524,0.01544092268730707,0.014560151331329652,0.012894287985232698,0.013195308925939436
000032,2011-02-28,22.42,43286.0,42320156.0,2.67,1.86,22.83,22.29,22.89,1.47,0.33,2905.05,127274935.0,0.596953277959536,0.8229317809523965,0.008171788328011746,0.02211676217765035,0.010075547482816916,0.05350591818370587,0.02364436845841289,0.00702817149914714,0.027057157722741865,0.02527002754754129,0.9036626968667798,0.33582605223960166,1.661701702930738,3.0,1.3862943611198906,0.014560151331329652,0.009160432753541468,0.005399718577788183,0.015157815997754773,0.0026246734227713016,8.760019277654344e-05,0.011890072370811244
000032,2011-03-01,22.77,40297.0,39719996.0,1.8,1.73,22.89,22.62,23.03,0.26,0.06,2918.92,148645028.0,0.6023594543051011,0.870976937276911,0.008084871869952999,0.014178112538768328,0.01044326408082119,0.05024088093599466,0.024174190874950874,0.012063108405856893,0.031835173334678224,0.02468292915132865,0.8895499872212232,0.370158887333602,1.4669911518916794,1.0,0.6931471805599453,0.0026246734227713016,0.004763082990583517,-0.0021384095678122156,0.015165898557022318,-0.0017490166242616178,0.0006987510110492152,0.01246144217592441
